Category,Complexity,Questions,Sample Answer,
java - common,,What is the difference between JDK and JRE?,"JRE - Java Runtime Environment - java applications run on it; 
        - only virtual machine. It can only execute java programs

JDK - Java Development Kit - fully featured software development kit for Java
        - includes JRE, compilers and tools in it. 
        - allow you to develop java programs. Incl. JVM, compiler, other helping tools",
java - common,,What is JVM?,"A program which executes other programs
Two primary functions
   - Ensure platform independence
   - Manage & optimize program memory",
java - common,,.jar vs .ear vs .war,".jar - EJB modules, which contains EJB and EJB deployment descriptor
.war - Web modules which contain Servlet class files, JSP files, supporting files, GIF & HTML files
.ear - .jar & .war files are packaged as JAR file with .ear extension & deployed into App Server",
java - common,,What is bytecode?,"- Code compiled once, which could be run through a VM instead of computer’s processor directly.
- So source code could be run on any platform (once it has been compiled and run through the VM)
- Compiled format of Java program
- Represented through .class files",
java - common,,What is classloader?,"a subsystem of JVM that is used to load classes and interfaces. 
There are many types of classloaders  
e.g. Bootstrap classloader, Extension classloader, System classloader, Plugin classloader etc.
=======================================================================
The Java Classloader is the part of the JRE that loads classes on demand (lazy loading) 
into the JVM (Java Virtual Machine). 
Classes may be loaded from the local file system, a remote file system, or even the web.

When the JVM is started, three class loaders are used: 
1. Bootstrap Classloader: Loads core java API file rt.jar from folder. 
2. Extension Classloader: Loads jar files from folder. 
3. System/Application Classloader: Loads jar files from path specified in the CLASSPATH env. variable.",
common,,SOLID principles,"S - single responsibility
O - open/close - open for EXTENSION, but closed for MODIFICATION
L - Liskov Substitution - Objects in a program should be replaceable with instances 
                                      of their subtypes without altering the correctness of that program
I - Interface segregation - Many client-specific interfaces are better than one general-purpose interface
D - dependency inversion - One should depend upon abstractions, not concretions
                                          - High-level modules should not depend on low-level modules. 
                                            Both should depend on abstractions.
                                          - Abstractions should not depend on details. Details should depend on abstractions.",
common,,What are the steps in problem solving with Java?,"Reproduce the problem
Debug the current process, which shows the problem
Find the problem
Analyse it
Search for different approaches, which can fix the problem
Implement a solution
Test the fixed code
If everything works fine document the change, if there is anything special.
Test also other processes, which depend of the changed one.",
java - common,,What's the main difference between C++ and Java,"JVM, platform independence, Java has garbage collection
C++ -> procedural & OOP, Java -> pure OOP",
java - common,,Java SE vs Java EE,"Java SE - Standard Edition. 
This is the core Java programming platform. It contains all of the libraries and APIs 
that any Java programmer should learn (java.lang, java.io, java.math, java.net, java.util, etc...).
Java EE
for very large scale apps or distributed systems. 
Built on top of Java SE, it provides libraries for database access (JDBC, JPA), 
remote method invocation (RMI), messaging (JMS), web services, XML processing, 
and defines standard APIs for Enterprise JavaBeans, servlets, portlets, Java Server Pages, etc...",
java - common,,New features in java 7,"Diamond operator ( Generics)
Using String in switch statement
Automatic resource management (try with resources)
Multicatch block
Numeric literals with underscore (int thousand =  1_000;)
Java.NIO 2.0",
java - common,,New features in java 8,"forEach method in Iterable interface
default and static methods in Interfaces
java.time / java.time.format / java.time.zone
Functional interface - interface with exactly one abstract method
                                - we don’t have to mark the interface as @FunctionalInterface explicitly
Lambda - allow us to create anonymous classes of functional interfaces easily
Java Stream API for Bulk Data Operations on Collections",
java - common,,New features in java 9,"Modules
jlink tool - allow us to create a minimal runtime environment, containing just those modules 
                necessary to run your app (we create a minimal runtime image optimized for our app)
JShell - an interactive Java PERL
Improved Javadoc
Multi-release JARs
Collection - factory methods
Stream API improvements
Private methods in interfaces
HTTP/2 - new ways of making HTTP calls",
java - common,,New features in java 10,Local variable type inference - VAR,
java - common,,New features in java 11,"Enhancements to various of Java classes 
Type inference - Consumer<String> printer = (var s) -> System.out.println(s); 
Remove Java EE and CORBA Modules (depr. Java 9)",
common,,Do you know any functional languages?,"Haskell, Erlang, Lisp",
common,,Do you know any logical languages?,Prolog,
common,,Authentication vs. authorization,"Authentication: The user login credentials are passed to an authenticate API (on the server). 
On the server side validation of the credentials happens and a JSON Web Token (JWT) is returned. 
JWT is a JSON object that has some information or attributes about the current user.  
Once the JWT is given to the client, the client or the user will be identified with that JWT.

Authorization: After logging in successfully, the authenticated or genuine user 
does not have access to everything. The user is not authorized to access someone else’s data,  
he/she is authorized to access some data.",
common,,Procedural vs. OOP ,"Procedural => a set of procedures which invoke each other
Procedural => hard to reuse, no abstract data structures",
common,,Difference between compiled vs. interpreted languages? ,"- With a compiled language, code you enter is reduced to a set of machine-specific instructions 
  before being saved as an executable file. 
- With interpreted languages, the code is saved in the same format that you entered. ",
common,,What is a variable scope?,"validity, visibillity area
global vs. local",
common,,What is method's call stack,"List of methods which was called is known as the call stack
when a method calls a method, the new method is put on top of the call stack
when the tp method finishes, it's removed from call stack
method in the lower level finishes when all the methods on top of it are finished",
common,,Heap vs. stack vs. perm space,"Heap space: Store all live objects
Stack space: Store references to the object for variable in method call or variable instantiation
Perm space: Store loaded classes information",
common,,Early vs. late binding,"early (or static) binding refers to compile time binding 
late (or dynamic) binding refers to runtime binding (for example when you use reflection).",
,,What defines the method signature in Java?,"method name and the number, type and order of its parameters. 
Return types and thrown exceptions are not considered to be a part of the method signature",
,,What if I write static public void instead of public static void?,Program compiles and runs properly.,
dates,,"Is the following snippet ok?
Date d = new Date();
DateFormat df = new DateFormat(DateFormat.Long);
System.out.println(dt.format(d));","Will not compile, bacause DateFormat is an abstract class. => DateFormat.getDateInstanace();",
string,,What are the two ways of initializing a string in Java ?,"Candidate to explain the difference between creating the string with String hello = ""hello""; 
and String hello = new String(""hello""); ? 
Which one is prefered ? 
What are consequeces when the string is created in the constant pool instead of the jvm heap ?",
string,,What is the meaning of immutable in terms of String?,"The simple meaning of immutable is unmodifiable or unchangeable.
Once string object has been created, its value can't be changed.",
string,,Why string objects are immutable in java?,"Because java uses the concept of string literal. Suppose there are 5 reference variables,
all referes to one object ""sachin"".
If one reference variable changes the value of the object, it will be affected to all the reference variables.
That is why string objects are immutable in java.",
string,,"How many objects will be created in the following code?
 
 String s1=""Welcome"";
 String s2=""Welcome"";
 String s3=""Welcome"";",Only one object.,
string,,What is the basic difference between string and stringbuffer object?,String is an immutable object. StringBuffer is a mutable object.,
string,,What's the difference between StringBuilder and StringBuffer,"StringBuffer is synchronized, StringBuilder is not",
string,,"What will happen from the following code:
String s1 = ""Welcom!""
s1.split(""\s"")","It will not compile, it should be split(""\\s"")
\\s - stands for whitespace",
constructor,,What is the purpose of default constructor?,"The default constructor provides the default values to the objects.
The java compiler creates a default constructor only if there is no constructor in the class",
constructor,,Does constructor return any value?,"yes, that is current instance 
(You cannot use return type yet it returns a value)",
,,"Does an Enum has constructor. If yes, are there something special?","Yes. The constructor is always private. You cannot make it public or protected.
If an enum type has no constructor declarations, then a private constructor without 
params is provided automatically",
static,,What can be static in Java,"Variable
Method
Block
Nested class",
static,,What is static variable?,"static variable is used to refer the common property of all objects 
(that is not unique for each object) 
e.g. company name of employees, college name of students etc.
 
static variable gets memory only once in class area at the time of class loading.",
static,,What is static method?,"A static method belongs to the class rather than object of a class.
A static method can be invoked without the need for creating an instance of a class.
static method can access static data member and can change the value of it.",
static,,Can you declare an interface method static?,"No, because methods of an interface is abstract by default, and static and abstract keywords can't be used together.
No, until java 8",
static,,What are static initializers and when would you use them?,"A static initializer gives you the opportunity to run code during the initial loading of a class and 
it guarantees that this code will only run once and will finish running before your class 
can be accessed in any way.

They are useful for performing initialization of complex static objects or to register a type with 
a static registry, as JDBC drivers do.

Suppose you want to create a static, immutable Map containing some feature flags. 
Java doesn’t have a good one-liner for initializing maps, so you can use static initializers instead:
public static final Map<String, Boolean> FEATURE_FLAGS;
        static {
            Map<String, Boolean> flags = new HashMap<>();
            flags.put(""frustrate-users"", false);
            flags.put(""reticulate-splines"", true);
            flags.put(...);
            FEATURE_FLAGS = Collections.unmodifiableMap(flags);
        }
Within the same class, you can repeat this pattern of declaring a static field and immediately 
initializing it, since multiple static initializers are allowed.",
final,,Can we intialize blank final variable?,"Yes, only in constructor if it is non-static. 
If it is static blank final variable, it can be initialized only in the static block.",
final,,What can be final in Java?,"Variable cannot be changed
Method cannot be overridden
Class cannot be subclassed",
